Date,Dividends
1998-08-06,0.22
2015-05-06,1.3
1993-11-04,0.25
2002-08-07,0.15
1997-11-06,0.2
2006-08-08,0.3
2007-02-07,0.3
2010-08-06,0.65
1985-05-03,0.275
2011-02-08,0.65
1985-11-06,0.275
1989-05-04,1.21
2014-08-06,1.1
2015-02-06,1.1
1989-11-02,1.21
1993-05-06,0.54
2018-08-09,1.57
1997-02-06,0.35
1997-05-07,0.4
2001-02-07,0.13
2009-11-06,0.55
2001-05-08,0.14
2005-02-08,0.18
1985-02-06,0.275
2001-11-07,0.14
1988-08-04,1.1
2013-11-06,0.95
2005-05-06,0.2
1989-02-02,1.1
2005-11-08,0.2
2017-11-09,1.5
1992-08-06,1.21
2009-05-06,0.55
1993-02-04,0.54
1991-11-04,1.21
1992-05-07,1.21
1995-11-08,0.25
1996-05-08,0.35
2008-11-06,0.5
1999-11-08,0.12
2000-05-08,0.13
2012-11-07,0.85
2004-05-06,0.18
2004-11-08,0.18
1987-05-07,1.1
2016-11-08,1.4
2008-05-07,0.5
1987-11-05,1.1
1991-05-06,1.21
2012-05-08,0.85
1995-05-04,0.25
1999-02-08,0.22
2016-05-06,1.4
2007-11-07,0.4
1999-05-06,0.24
2003-02-06,0.15
2011-11-08,0.75
1986-08-07,1.1
2003-05-07,0.16
1987-02-05,1.1
2003-11-06,0.16
2015-11-06,1.3
1990-08-06,1.21
2007-05-08,0.4
1991-02-04,1.21
1994-08-04,0.25
2011-05-06,0.75
1995-02-06,0.25
1994-05-05,0.25
1998-02-06,0.2
1998-05-06,0.22
2002-02-06,0.14
2010-11-08,0.65
2016-05-09,1.4
1985-08-08,0.275
2002-05-08,0.15
1986-02-07,1.1
2002-11-06,0.15
2014-11-06,1.1
1989-08-03,1.21
2006-05-08,0.3
1990-02-05,1.21
2006-11-08,0.3
2018-11-08,1.57
1993-08-05,0.25
2010-05-06,0.65
1994-02-04,0.25
1997-08-07,0.2
2014-05-07,1.1
2018-02-08,1.5
1992-11-05,1.21
2001-08-08,0.14
2018-05-09,1.57
1996-11-06,0.35
2015-05-07,1.3
2005-08-08,0.2
2000-11-08,0.13
2006-02-08,0.2
2009-08-06,0.55
2010-02-08,0.55
2013-08-07,0.95
1988-05-05,1.1
2014-02-06,0.95
1988-11-04,1.1
2017-08-08,1.5
1996-02-07,0.25
1996-08-07,0.35
2013-05-08,0.95
2017-02-08,1.4
2000-02-08,0.12
2000-08-08,0.13
2017-05-08,1.5
2004-02-06,0.16
2004-08-06,0.18
1987-08-06,1.1
2008-08-06,0.5
1988-02-04,1.1
2009-02-06,0.5
1991-08-06,1.21
2012-08-08,0.85
1992-02-06,1.21
2013-02-06,0.85
1995-08-08,0.25
2016-08-08,1.4
1999-08-06,0.12
1994-11-04,0.25
2003-08-06,0.16
1998-11-06,0.22
2007-08-08,0.4
2008-02-06,0.4
1986-05-08,1.1
2011-08-08,0.75
2012-02-08,0.75
1986-11-05,1.1
2015-08-06,1.3
1990-05-04,1.21
2016-02-08,1.3
1990-11-05,1.21
